COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
CYRUSONE INC	COM	23283R100	23083	516052	SH		SOLE		516052	0	0
CYS INVTS INC	COM	12673A108	619	80116	SH		SOLE		80116	0	0
CYTOKINETICS INC	COM NEW	23282W605	1504	123763	SH		SOLE		123763	0	0
CYTOMX THERAPEUTICS INC	COM	23284F105	138	12583	SH		SOLE		12583	0	0
CYTORI THERAPEUTICS INC	COM NEW	23283K204	4	2594	SH		SOLE		2594	0	0
CYTOSORBENTS CORP	COM NEW	23283X206	23	4303	SH		SOLE		4303	0	0
CYTRX CORP	COM PAR	232828509	15	41510	SH		SOLE		41510	0	0
D R HORTON INC	COM	23331A109	65635	2401570	SH		SOLE		2401570	0	0
D R HORTON INC	COM	23331A109	5526	202200	SH		SOLE	2	0	0	202200
DAILY JOURNAL CORP	COM	233912104	99	408	SH		SOLE		408	0	0
DAKTRONICS INC	COM	234264109	205	19192	SH		SOLE		19192	0	0
DANA INCORPORATED	COM	235825205	1486	78304	SH		SOLE		78304	0	0
DANAHER CORP DEL	COM	235851102	14208	182532	SH		SOLE		182532	0	0
DANAHER CORP DEL	COM	235851102	26079	335036	SH		SOLE	2	0	0	335036
DARDEN RESTAURANTS INC	COM	237194105	9923	136456	SH		SOLE		136456	0	0
DARDEN RESTAURANTS INC	COM	237194105	7509	103264	SH		SOLE	2	0	0	103264
DARIOHEALTH CORP	*W EXP 03/08/202	23725P118	4	5493	SH		OTR		5493	0	0
DARLING INGREDIENTS INC	COM	237266101	1135	87930	SH		SOLE		87930	0	0
DATALINK CORP	COM	237934104	725	64390	SH		SOLE		64390	0	0
DATARAM CORP	COM PAR NEW	238108401	1	297	SH		SOLE		297	0	0
DAVE & BUSTERS ENTMT INC	COM	238337109	1442	25604	SH		SOLE		25604	0	0
DAVITA INC	COM	23918K108	90910	1416049	SH		SOLE		1416049	0	0
DAVITA INC	COM	23918K108	10844	168915	SH		SOLE	2	77990	0	90925
DAWSON GEOPHYSICAL CO NEW	COM	239360100	105	13018	SH		SOLE		13018	0	0
DCP MIDSTREAM PARTNERS LP	COM UT LTD PTN	23311P100	7562	197025	SH		SOLE		197025	0	0
DCT INDUSTRIAL TRUST INC	COM NEW	233153204	7024	146703	SH		SOLE		146703	0	0
DDR CORP	COM	23317H102	5863	383977	SH		SOLE		383977	0	0
DEAN FOODS CO NEW	COM NEW	242370203	9976	458012	SH		SOLE		458012	0	0
DECKERS OUTDOOR CORP	COM	243537107	1792	32355	SH		SOLE		32355	0	0
DECKERS OUTDOOR CORP	COM	243537107	93	1670	SH		SOLE	2	0	0	1670
DEERE & CO	COM	244199105	13134	127469	SH		SOLE		127469	0	0
DEERE & CO	COM	244199105	11921	115695	SH		SOLE	2	0	0	115695
DEL FRISCOS RESTAURANT GROUP	COM	245077102	232	13659	SH		SOLE		13659	0	0
DEL TACO RESTAURANTS INC	COM	245496104	219	15496	SH		SOLE		15496	0	0
DEL TACO RESTAURANTS INC	*W EXP 06/30/202	245496112	243	50143	SH		OTR		50143	0	0
DELEK LOGISTICS PARTNERS LP	COM UNT RP INT	24664T103	5933	207801	SH		SOLE		207801	0	0
DELEK US HLDGS INC	COM	246647101	753	31299	SH		SOLE		31299	0	0
DELL TECHNOLOGIES INC	COM CL V	24703L103	64	1168	SH		OTR		1168	0	0
DELL TECHNOLOGIES INC	COM CL V	24703L103	23560	428593	SH		SOLE		428593	0	0
DELL TECHNOLOGIES INC	OPTIONS	24703L103	8246	150000	SH	Put	SOLE		150000	0	0
DELPHI AUTOMOTIVE PLC	SHS	G27823106	28432	422158	SH		SOLE		406330	0	15828
DELPHI AUTOMOTIVE PLC	SHS	G27823106	10750	159619	SH		SOLE	2	0	0	159619
DELTA AIR LINES INC DEL	COM NEW	247361702	343784	6988901	SH		SOLE		6988901	0	0
DELTA AIR LINES INC DEL	COM NEW	247361702	5189	105495	SH		SOLE	2	0	0	105495
DELTA AIR LINES INC DEL	OPTIONS	247361702	31880	648100	SH	Call	SOLE		648100	0	0
DELTA APPAREL INC	COM	247368103	62	2968	SH		SOLE		2968	0	0
DELTA NAT GAS INC	COM	247748106	120	4084	SH		SOLE		4084	0	0
DELTIC TIMBER CORP	COM	247850100	428	5557	SH		SOLE		5557	0	0
DELUXE CORP	COM	248019101	1832	25588	SH		SOLE		25588	0	0
DENBURY RES INC	COM NEW	247916208	726	197216	SH		SOLE		197216	0	0
DENNYS CORP	COM	24869P104	524	40833	SH		SOLE		40833	0	0
DENTSPLY SIRONA INC	COM	24906P109	5962	103272	SH		SOLE		103272	0	0
DENTSPLY SIRONA INC	COM	24906P109	8603	149021	SH		SOLE	2	0	0	149021
DEPOMED INC	COM	249908104	576	31946	SH		SOLE		31946	0	0
DERMA SCIENCES INC	COM PAR $.01	249827502	37	7068	SH		SOLE		7068	0	0
DERMIRA INC	COM	24983L104	13358	440424	SH		SOLE		440424	0	0
DERMIRA INC	COM	24983L104	1673	55160	SH		SOLE	2	55160	0	0
DESTINATION MATERNITY CORP	COM	25065D100	14	2770	SH		SOLE		2770	0	0
DESTINATION XL GROUP INC	COM	25065K104	88	20788	SH		SOLE		20788	0	0
DETERMINE INC	COM	250660107	6	2985	SH		SOLE		2985	0	0
DEUTSCHE BANK AG	NAMEN AKT	D18190898	69	3800	SH		SOLE		3800	0	0
DEUTSCHE BANK AG	OPTIONS	D18190898	150	8300	SH	Call	OTR		8300	0	0
DEVON ENERGY CORP NEW	COM	25179M103	2288	50104	SH		OTR		0	50104	0
DEVON ENERGY CORP NEW	COM	25179M103	264934	5801050	SH		SOLE		5799793	0	1257
DEVON ENERGY CORP NEW	COM	25179M103	8706	190635	SH		SOLE	2	0	0	190635
DEVRY ED GROUP INC	COM	251893103	1017	32599	SH		SOLE		32599	0	0
DEXCOM INC	COM	252131107	11542	193341	SH		SOLE		193341	0	0
DEXCOM INC	COM	252131107	3758	62948	SH		SOLE	2	0	0	62948
DEXTERA SURGICAL INC	COM	252366109	3	3562	SH		SOLE		3562	0	0
DHI GROUP INC	COM	23331S100	172	27532	SH		SOLE		27532	0	0
DHT HOLDINGS INC	SHS NEW	Y2065G121	138	33256	SH		SOLE		33256	0	0
DIAGEO P L C	SPON ADR NEW	25243Q205	103359	994410	SH		SOLE		994410	0	0
DIAMOND HILL INVESTMENT GROU	COM NEW	25264R207	394	1874	SH		SOLE		1874	0	0
DIAMOND OFFSHORE DRILLING IN	COM	25271C102	669	37814	SH		SOLE		37814	0	0
DIAMONDBACK ENERGY INC	COM	25278X109	28485	281859	SH		SOLE		281859	0	0
DIAMONDBACK ENERGY INC	COM	25278X109	4441	43940	SH		SOLE	2	0	0	43940
DIAMONDROCK HOSPITALITY CO	COM	252784301	3675	318747	SH		SOLE		318747	0	0
DICERNA PHARMACEUTICALS INC	COM	253031108	8	2670	SH		SOLE		2670	0	0
DICKS SPORTING GOODS INC	COM	253393102	20956	394658	SH		SOLE		394658	0	0
DICKS SPORTING GOODS INC	COM	253393102	4643	87432	SH		SOLE	2	0	0	87432
DIEBOLD NXDF INC	COM	253651103	14275	567583	SH		SOLE		567583	0	0
DIGI INTL INC	COM	253798102	200	14579	SH		SOLE		14579	0	0
DIGIMARC CORP NEW	COM	25381B101	165	5504	SH		SOLE		5504	0	0
DIGITAL RLTY TR INC	COM	253868103	16851	171498	SH		SOLE		171498	0	0
DIGITAL RLTY TR INC	COM	253868103	8496	86460	SH		SOLE	2	0	0	86460
DIGITALGLOBE INC	COM NEW	25389M877	3783	132030	SH		SOLE		132030	0	0
DILLARDS INC	CL A	254067101	5465	87182	SH		SOLE		87182	0	0
DIME CMNTY BANCSHARES	COM	253922108	337	16749	SH		SOLE		16749	0	0
DIMENSION THERAPEUTICS INC	COM	25433V105	23	5357	SH		SOLE		5357	0	0
DINEEQUITY INC	COM	254423106	725	9412	SH		SOLE		9412	0	0
DIODES INC	COM	254543101	512	19956	SH		SOLE		19956	0	0
DIPLOMAT PHARMACY INC	COM	25456K101	1046	83020	SH		SOLE		59215	0	23805
DISCOVER FINL SVCS	COM	254709108	382588	5307086	SH		SOLE		5307086	0	0
DISCOVER FINL SVCS	COM	254709108	12401	172017	SH		SOLE	2	0	0	172017
DISCOVERY COMMUNICATNS NEW	COM SER A	25470F104	2270	82806	SH		SOLE		82806	0	0
DISCOVERY COMMUNICATNS NEW	COM SER A	25470F104	3350	122207	SH		SOLE	2	0	0	122207
DISCOVERY COMMUNICATNS NEW	COM SER C	25470F302	2697	100693	SH		SOLE		100693	0	0
DISCOVERY COMMUNICATNS NEW	COM SER C	25470F302	4679	174723	SH		SOLE	2	0	0	174723
DISH NETWORK CORP	CL A	25470M109	79529	1372839	SH		SOLE		1372839	0	0
DISH NETWORK CORP	OPTIONS	25470M109	209	3600	SH	Put	OTR		3600	0	0
DISNEY WALT CO	COM DISNEY	254687106	22799	218761	SH		SOLE		218761	0	0
DISNEY WALT CO	COM DISNEY	254687106	91383	876828	SH		SOLE	2	90080	0	786748
DIXIE GROUP INC	CL A	255519100	10	2900	SH		SOLE		2900	0	0
DMC GLOBAL INC	COM	23291C103	124	7818	SH		SOLE		7818	0	0
DOLBY LABORATORIES INC	COM	25659T107	1398	30926	SH		SOLE		30926	0	0
DOLLAR GEN CORP NEW	COM	256677105	289818	3912756	SH		SOLE		3912756	0	0
DOLLAR GEN CORP NEW	COM	256677105	12503	168794	SH		SOLE	2	0	0	168794
DOLLAR TREE INC	COM	256746108	46665	604630	SH		SOLE		592769	0	11861
DOLLAR TREE INC	COM	256746108	8727	113068	SH		SOLE	2	0	0	113068
DOMINION MIDSTREAM PARTNERS	COM UT REP LTD	257454108	17603	595715	SH		SOLE		595715	0	0
DOMINION RES INC VA NEW	COM	25746U109	254158	3318419	SH		SOLE		3318419	0	0
DOMINION RES INC VA NEW	COM	25746U109	21517	280936	SH		SOLE	2	0	0	280936
DOMINION RES INC VA NEW	UNIT 08/15/2019	25746U836	354	6993	SH		OTR		6993	0	0
DOMINION RES INC VA NEW	UNIT 08/15/2019	25746U836	90383	1786224	SH		SOLE		1786224	0	0
DOMINION RES INC VA NEW	UNIT 99/99/9999	25746U869	24390	487221	SH		SOLE		487221	0	0
DOMINOS PIZZA INC	COM	25754A201	75661	475136	SH		SOLE		475136	0	0
DOMINOS PIZZA INC	COM	25754A201	5326	33445	SH		SOLE	2	0	0	33445
DOMTAR CORP	COM NEW	257559203	13474	345226	SH		SOLE		345226	0	0
DONALDSON INC	COM	257651109	3167	75269	SH		SOLE		75269	0	0
DONEGAL GROUP INC	CL A	257701201	126	7190	SH		SOLE		7190	0	0
DONNELLEY FINL SOLUTIONS INC	COM	25787G100	363	15803	SH		SOLE		15803	0	0
DONNELLEY R R & SONS CO	COM	257867200	729	44693	SH		SOLE		44693	0	0
DORIAN LPG LTD	SHS USD	Y2106R110	68	8323	SH		SOLE		8323	0	0
DORMAN PRODUCTS INC	COM	258278100	5928	81140	SH		SOLE		81140	0	0
DOUBLE EAGLE ACQUISITION COR	UNIT 99/99/9999	G28195108	73	6989	SH		OTR		6989	0	0
DOUBLE EAGLE ACQUISITION COR	COM	G28195124	0	12	SH		OTR		12	0	0
DOUGLAS DYNAMICS INC	COM	25960R105	405	12031	SH		SOLE		12031	0	0
DOUGLAS EMMETT INC	COM	25960P109	6284	171886	SH		SOLE		171886	0	0
DOVER CORP	COM	260003108	15215	203054	SH		SOLE		203054	0	0
DOVER CORP	COM	260003108	7294	97346	SH		SOLE	2	0	0	97346
DOVER DOWNS GAMING & ENTMT I	COM	260095104	7	6916	SH		SOLE		6916	0	0
DOVER MOTORSPORTS INC	COM	260174107	4	1592	SH		SOLE		1592	0	0
DOW CHEM CO	COM	260543103	494445	8641126	SH		SOLE		8641126	0	0
DOW CHEM CO	COM	260543103	32636	570355	SH		SOLE	2	0	0	570355
DR PEPPER SNAPPLE GROUP INC	COM	26138E109	94323	1040289	SH		SOLE		1040289	0	0
DR PEPPER SNAPPLE GROUP INC	COM	26138E109	12960	142936	SH		SOLE	2	0	0	142936
DR REDDYS LABS LTD	ADR	256135203	486	10723	SH		SOLE		10723	0	0
DREW INDS INC	COM NEW	26168L205	1371	12726	SH		SOLE		12726	0	0
DRIL-QUIP INC	COM	262037104	15278	254422	SH		SOLE		254422	0	0
DRIVE SHACK INC	COM	262077100	42	11272	SH		SOLE		11272	0	0
DSP GROUP INC	COM	23332B106	7125	545940	SH		SOLE		545940	0	0
DST SYS INC DEL	COM	233326107	2052	19150	SH		SOLE		19150	0	0
DSW INC	CL A	23334L102	3153	139209	SH		SOLE		139209	0	0
DTE ENERGY CO	COM	233331107	53717	545290	SH		SOLE		545290	0	0
DTE ENERGY CO	COM	233331107	10985	111507	SH		SOLE	2	0	0	111507
DU PONT E I DE NEMOURS & CO	COM	263534109	416355	5672413	SH		SOLE		5672413	0	0
DU PONT E I DE NEMOURS & CO	COM	263534109	33214	452504	SH		SOLE	2	0	0	452504
DUCOMMUN INC DEL	COM	264147109	146	5705	SH		SOLE		5705	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	34936	450095	SH		SOLE		450095	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	24018	309426	SH		SOLE	2	0	0	309426
DUKE REALTY CORP	COM NEW	264411505	11976	450887	SH		SOLE		450887	0	0
DUKE REALTY CORP	COM NEW	264411505	6224	234323	SH		SOLE	2	0	0	234323
DULUTH HLDGS INC	COM CL B	26443V101	89	3488	SH		SOLE		3488	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	6386	52638	SH		SOLE		52638	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	3458	28507	SH		SOLE	2	0	0	28507
DUNKIN BRANDS GROUP INC	COM	265504100	3751	71531	SH		SOLE		53972	0	17559
DUPONT FABROS TECHNOLOGY INC	COM	26613Q106	4841	110197	SH		SOLE		110197	0	0
DURECT CORP	COM	266605104	90	67532	SH		SOLE		67532	0	0
DXP ENTERPRISES INC NEW	COM NEW	233377407	300	8635	SH		SOLE		8635	0	0
DYCOM INDS INC	COM	267475101	1311	16331	SH		SOLE		16331	0	0
DYNAVAX TECHNOLOGIES CORP	COM NEW	268158201	81	20434	SH		SOLE		20434	0	0
DYNEGY INC NEW DEL	COM	26817R108	40122	4742571	SH		SOLE		4742571	0	0
DYNEX CAP INC	COM NEW	26817Q506	185	27180	SH		SOLE		27180	0	0
E L F BEAUTY INC	COM	26856L103	100	3454	SH		SOLE		3454	0	0
E TRADE FINANCIAL CORP	COM NEW	269246401	13429	387557	SH		SOLE		387557	0	0
E TRADE FINANCIAL CORP	COM NEW	269246401	5777	166720	SH		SOLE	2	0	0	166720
EAGLE BANCORP INC MD	COM	268948106	1002	16438	SH		SOLE		16438	0	0
EAGLE MATERIALS INC	COM	26969P108	2731	27721	SH		SOLE		27721	0	0
EAGLE PHARMACEUTICALS INC	COM	269796108	367	4627	SH		SOLE		4627	0	0
EARTHLINK HLDGS CORP	COM	27033X101	5001	886756	SH		SOLE		886756	0	0
EARTHSTONE ENERGY INC	COM NEW	27032D205	4	280	SH		SOLE		280	0	0
EAST WEST BANCORP INC	COM	27579R104	4325	85092	SH		SOLE		85092	0	0
EASTERLY ACQUISITION CORP	COM	27616L102	0	16	SH		OTR		16	0	0
EASTERLY GOVT PPTYS INC	COM	27616P103	362	18068	SH		SOLE		18068	0	0
EASTERN VA BANKSHARES INC	COM	277196101	27	2546	SH		SOLE		2546	0	0
EASTGROUP PPTY INC	COM	277276101	1241	16813	SH		SOLE		16813	0	0
EASTMAN CHEM CO	COM	277432100	25555	339777	SH		SOLE		339777	0	0
EASTMAN CHEM CO	COM	277432100	5640	74993	SH		SOLE	2	0	0	74993
EASTMAN KODAK CO	*W EXP 09/03/201	277461141	12	4110	SH		OTR		4110	0	0
EASTMAN KODAK CO	COM NEW	277461406	193	12422	SH		SOLE		12422	0	0
EATON CORP PLC	SHS	G29183103	1222	18213	SH		OTR		0	18213	0
EATON CORP PLC	SHS	G29183103	1903	28369	SH		SOLE		28369	0	0
EATON CORP PLC	SHS	G29183103	16624	247789	SH		SOLE	2	0	0	247789
EATON VANCE CORP	COM NON VTG	278265103	6528	155862	SH		SOLE		155862	0	0
EATON VANCE CORP	COM NON VTG	278265103	3776	90158	SH		SOLE	2	0	0	90158
EATON VANCE FLTING RATE INC	COM	278279104	1	100	SH		SOLE		100	0	0
EATON VANCE SR INCOME TR	SH BEN INT	27826S103	175	26217	SH		SOLE		26217	0	0
EBAY INC	COM	278642103	1741	58627	SH		OTR		0	58627	0
EBAY INC	COM	278642103	1680	56588	SH		SOLE		56588	0	0
EBAY INC	COM	278642103	13778	464064	SH		SOLE	2	0	0	464064
EBIX INC	COM NEW	278715206	727	12741	SH		SOLE		12741	0	0
ECHO GLOBAL LOGISTICS INC	COM	27875T101	390	15572	SH		SOLE		15572	0	0
ECHOSTAR CORP	CL A	278768106	1391	27077	SH		SOLE		27077	0	0
ECLIPSE RES CORP	COM	27890G100	3535	1324085	SH		SOLE		1324085	0	0
ECOLAB INC	COM	278865100	18274	155898	SH		SOLE		155898	0	0
ECOLAB INC	COM	278865100	17214	146850	SH		SOLE	2	0	0	146850
ECOPETROL S A	SPONSORED ADS	279158109	169	18664	SH		SOLE		18664	0	0
EDGE THERAPEUTICS INC	COM	279870109	124	9933	SH		SOLE		9933	0	0
EDGEWELL PERS CARE CO	COM	28035Q102	184165	2523156	SH		SOLE		2519642	0	3514
EDGEWELL PERS CARE CO	COM	28035Q102	3697	50652	SH		SOLE	2	0	0	50652
EDISON INTL	COM	281020107	26499	368097	SH		SOLE		368097	0	0
EDISON INTL	COM	281020107	13153	182712	SH		SOLE	2	0	0	182712
EDITAS MEDICINE INC	COM	28106W103	99	6072	SH		SOLE		6072	0	0
EDUCATION RLTY TR INC	COM NEW	28140H203	3605	85228	SH		SOLE		85228	0	0
EDWARDS LIFESCIENCES CORP	COM	28176E108	30312	323498	SH		SOLE		323498	0	0
EDWARDS LIFESCIENCES CORP	COM	28176E108	12647	134969	SH		SOLE	2	0	0	134969
EGAIN CORP	COM NEW	28225C806	3	1227	SH		SOLE		1227	0	0
EGALET CORP	COM	28226B104	84	10989	SH		SOLE		10989	0	0
EHEALTH INC	COM	28238P109	99	9310	SH		SOLE		9310	0	0
EIGER BIOPHARMACEUTICALS INC	COM	28249U105	29	2473	SH		SOLE		2473	0	0
EL PASO ELEC CO	COM NEW	283677854	9514	204608	SH		SOLE		204608	0	0
EL POLLO LOCO HLDGS INC	COM	268603107	135	10948	SH		SOLE		10948	0	0
ELDORADO RESORTS INC	COM	28470R102	244	14420	SH		SOLE		14420	0	0
ELECTRO SCIENTIFIC INDS	COM	285229100	91	15342	SH		SOLE		15342	0	0
ELECTRONIC ARTS INC	COM	285512109	102164	1297153	SH		SOLE		1297153	0	0
ELECTRONIC ARTS INC	COM	285512109	8399	106643	SH		SOLE	2	0	0	106643
ELECTRONIC ARTS INC	OPTIONS	285512109	284	3600	SH	Put	SOLE		3600	0	0
ELECTRONICS FOR IMAGING INC	COM	286082102	1112	25353	SH		SOLE		25353	0	0
ELLIE MAE INC	COM	28849P100	5847	69879	SH		SOLE		69879	0	0
ELLIS PERRY INTL INC	COM	288853104	482	19366	SH		SOLE		19366	0	0
EMAGIN CORP	COM NEW	29076N206	14	6297	SH		SOLE		6297	0	0
EMC INS GROUP INC	COM	268664109	164	5469	SH		SOLE		5469	0	0
EMCOR GROUP INC	COM	29084Q100	27150	383691	SH		SOLE		383691	0	0
EMCORE CORP	COM NEW	290846203	114	13100	SH		SOLE		13100	0	0
EMERGENT BIOSOLUTIONS INC	COM	29089Q105	1020	31071	SH		SOLE		31071	0	0
EMERGENT CAP INC	COM	29102N105	452	373774	SH		SOLE		373774	0	0
EMERSON ELEC CO	COM	291011104	1449	25993	SH		OTR		0	25993	0
EMERSON ELEC CO	COM	291011104	1587	28468	SH		SOLE		28468	0	0
EMERSON ELEC CO	COM	291011104	25339	454514	SH		SOLE	2	106453	0	348061
EMMIS COMMUNICATIONS CORP	COM NEW CL A	291525400	33	9863	SH		SOLE		9863	0	0
EMPIRE DIST ELEC CO	COM	291641108	802	23540	SH		SOLE		23540	0	0
EMPIRE RESORTS INC	COM PAR $0 01	292052305	46	2030	SH		SOLE		2030	0	0
EMPIRE ST RLTY TR INC	CL A	292104106	3021	149640	SH		SOLE		149640	0	0
EMPLOYERS HOLDINGS INC	COM	292218104	3453	87185	SH		SOLE		87185	0	0
ENANTA PHARMACEUTICALS INC	COM	29251M106	1247	37209	SH		SOLE		37209	0	0
ENBRIDGE INC	COM	29250N105	3951	93800	SH		SOLE		93800	0	0
ENCANA CORP	COM	292505104	150741	12839982	SH		SOLE		12839982	0	0
ENCORE CAP GROUP INC	COM	292554102	350	12227	SH		SOLE		12227	0	0
ENCORE WIRE CORP	COM	292562105	484	11160	SH		SOLE		11160	0	0
ENDO INTL PLC	SHS	G30401106	1615	98039	SH		SOLE		98039	0	0
ENDO INTL PLC	SHS	G30401106	2368	143788	SH		SOLE	2	0	0	143788
ENDOCYTE INC	COM	29269A102	54	21319	SH		SOLE		21319	0	0
ENDOLOGIX INC	COM	29266S106	241	42115	SH		SOLE		42115	0	0
ENDURANCE INTL GROUP HLDGS I	COM	29272B105	326	35024	SH		SOLE		35024	0	0
ENDURANCE SPECIALTY HLDGS LT	SHS	G30397106	3552	38443	SH		SOLE		38443	0	0
ENEL AMERICAS S A	SPONSORED ADR	29274F104	317	38640	SH		SOLE		38640	0	0
ENEL GENERACION CHILE S A	SPONSORED ADR	29244T101	447	23000	SH		SOLE		23000	0	0
ENERGEN CORP	COM	29265N108	45788	793974	SH		SOLE		793974	0	0
ENERGEN CORP	COM	29265N108	574	9950	SH		SOLE	2	0	0	9950
ENERGIZER HLDGS INC NEW	COM	29272W109	1627	36466	SH		SOLE		36466	0	0
ENERGOUS CORP	COM	29272C103	93	5502	SH		SOLE		5502	0	0
ENERGY FOCUS INC	COM NEW	29268T300	19	4423	SH		SOLE		4423	0	0
ENERGY RECOVERY INC	COM	29270J100	183	17668	SH		SOLE		17668	0	0
ENERGY TRANSFER EQUITY L P	COM UT LTD PTN	29273V100	4067	210625	SH		SOLE		210625	0	0
ENERGY TRANSFER PRTNRS L P	UNIT LTD PARTN	29273R109	56074	1565866	SH		SOLE		1565866	0	0
ENERNOC INC	COM	292764107	86	14388	SH		SOLE		14388	0	0
ENERSYS	COM	29275Y102	1776	22745	SH		SOLE		22745	0	0
ENGILITY HLDGS INC NEW	COM	29286C107	3045	90358	SH		SOLE		90358	0	0
ENI S P A	SPONSORED ADR	26874R108	12640	392070	SH		SOLE		392070	0	0
ENLINK MIDSTREAM PARTNERS LP	COM UNIT REP LTD	29336U107	7286	395533	SH		SOLE		395533	0	0
ENNIS INC	COM	293389102	230	13258	SH		SOLE		13258	0	0
ENOVA INTL INC	COM	29357K103	2187	174282	SH		SOLE		174282	0	0
ENPHASE ENERGY INC	COM	29355A107	5	5033	SH		SOLE		5033	0	0
ENPRO INDS INC	COM	29355X107	757	11238	SH		SOLE		11238	0	0
ENSCO PLC	SHS CLASS A	G3157S106	1814	186611	SH		SOLE		186611	0	0
ENSIGN GROUP INC	COM	29358P101	574	25825	SH		SOLE		25825	0	0
ENSTAR GROUP LIMITED	SHS	G3075P101	1221	6176	SH		SOLE		6176	0	0
ENTEGRIS INC	COM	29362U104	3260	182144	SH		SOLE		182144	0	0
ENTELLUS MED INC	COM	29363K105	54	2829	SH		SOLE		2829	0	0
ENTERCOM COMMUNICATIONS CORP	CL A	293639100	1140	74492	SH		SOLE		74492	0	0
ENTERGY CORP NEW	COM	29364G103	6504	88531	SH		SOLE		88531	0	0
ENTERGY CORP NEW	COM	29364G103	8323	113281	SH		SOLE	2	0	0	113281
ENTERPRISE BANCORP INC MASS	COM	293668109	184	4887	SH		SOLE		4887	0	0
ENTERPRISE FINL SVCS CORP	COM	293712105	458	10655	SH		SOLE		10655	0	0
ENTERPRISE PRODS PARTNERS L	COM	293792107	64917	2400763	SH		SOLE		2389904	0	10859
ENTERTAINMENT GAMING ASIA IN	COM PAR	29383V305	1	791	SH		SOLE		791	0	0
ENTRAVISION COMMUNICATIONS C	CL A	29382R107	242	34635	SH		SOLE		34635	0	0
ENVESTNET INC	COM	29404K106	779	22108	SH		SOLE		22108	0	0
ENVISION HEALTHCARE CORP	COM	29414D100	3431	54206	SH		SOLE		54206	0	0
ENVIVA PARTNERS LP	COM UNIT	29414J107	9	347	SH		SOLE		347	0	0
ENZO BIOCHEM INC	COM	294100102	153	22070	SH		SOLE		22070	0	0
EOG RES INC	COM	26875P101	133421	1319696	SH		SOLE		1319696	0	0
EOG RES INC	COM	26875P101	22547	223013	SH		SOLE	2	0	0	223013
EP ENERGY CORP	CL A	268785102	1231	187996	SH		SOLE		187996	0	0
EPAM SYS INC	COM	29414B104	1625	25266	SH		SOLE		25266	0	0
EPIZYME INC	COM	29428V104	252	20800	SH		SOLE		20800	0	0
EPLUS INC	COM	294268107	406	3525	SH		SOLE		3525	0	0
EPR PPTYS	COM SH BEN INT	26884U109	22916	319295	SH		SOLE		319295	0	0
EQT CORP	COM	26884L109	100725	1540139	SH		SOLE		1540139	0	0
EQT CORP	COM	26884L109	5640	86239	SH		SOLE	2	0	0	86239
EQT MIDSTREAM PARTNERS LP	UNIT LTD PARTN	26885B100	28651	373646	SH		SOLE		373646	0	0
EQUIFAX INC	COM	294429105	98408	832343	SH		SOLE		829025	0	3318
EQUIFAX INC	COM	294429105	4971	42044	SH		SOLE	2	0	0	42044
EQUINIX INC	COM PAR $0.001	29444U700	103306	289040	SH		SOLE		289040	0	0
EQUINIX INC	COM PAR $0.001	29444U700	12108	33878	SH		SOLE	2	0	0	33878
EQUITY BANCSHARES INC	COM CL A	29460X109	59	1767	SH		SOLE		1767	0	0
EQUITY COMWLTH	COM SH BEN INT	294628102	4654	153917	SH		SOLE		153917	0	0
EQUITY LIFESTYLE PPTYS INC	COM	29472R108	6896	95647	SH		SOLE		95647	0	0
EQUITY ONE	COM	294752100	4256	138687	SH		SOLE		138687	0	0
EQUITY RESIDENTIAL	SH BEN INT	29476L107	15937	247621	SH		SOLE		247621	0	0
EQUITY RESIDENTIAL	SH BEN INT	29476L107	11121	172788	SH		SOLE	2	0	0	172788
ERA GROUP INC	COM	26885G109	175	10335	SH		SOLE		10335	0	0
ERIE INDTY CO	CL A	29530P102	1500	13338	SH		SOLE		13338	0	0
ERIN ENERGY CORP	COM	295625107	11	3671	SH		SOLE		3671	0	0
EROS INTL PLC	SHS NEW	G3788M114	3104	237857	SH		SOLE		237857	0	0
ESCALADE INC	COM	296056104	77	5798	SH		SOLE		5798	0	0
ESCO TECHNOLOGIES INC	COM	296315104	757	13364	SH		SOLE		13364	0	0
ESPERION THERAPEUTICS INC NE	COM	29664W105	92	7387	SH		SOLE		7387	0	0
ESSA BANCORP INC	COM	29667D104	102	6461	SH		SOLE		6461	0	0
ESSENDANT INC	COM	296689102	405	19375	SH		SOLE		19375	0	0
ESSENT GROUP LTD	COM	G3198U102	19073	589233	SH		SOLE		589233	0	0
ESSENT GROUP LTD	COM	G3198U102	187	5790	SH		SOLE	2	0	0	5790
ESSEX PPTY TR INC	COM	297178105	18016	77487	SH		SOLE		77487	0	0
ESSEX PPTY TR INC	COM	297178105	8242	35450	SH		SOLE	2	0	0	35450
ESTERLINE TECHNOLOGIES CORP	COM	297425100	1393	15622	SH		SOLE		15622	0	0
ETFS GOLD TR	SHS	26922Y105	160669	1437626	SH		SOLE		1437626	0	0
