COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
CBRE GROUP INC	CL A	12504L109	5241	102163	SH		SOLE		102163	0	0
CBS CORP NEW	CL B	124857202	3030	60729	SH		SOLE		60729	0	0
CDK GLOBAL INC	COM	12508E101	10989	222267	SH		SOLE		222267	0	0
CDW CORP	COM	12514G108	782	7047	SH		SOLE		7047	0	0
CEDAR REALTY TRUST INC	COM NEW	150602209	31	11842	SH		SOLE		11842	0	0
CELANESE CORP DEL	COM	150870103	2360	21894	SH		SOLE		21894	0	0
CELGENE CORP	COM	151020104	61530	665626	SH		SOLE		665626	0	0
CENTENE CORP DEL	COM	15135B101	5284	100763	SH		SOLE		100763	0	0
CENTENNIAL RESOURCE DEV INC	CL A	15136A102	81	10628	SH		SOLE		10628	0	0
CENTERPOINT ENERGY INC	COM	15189T107	4165	145471	SH		SOLE		145471	0	0
CENTERSTATE BK CORP	COM	15201P109	295	12824	SH		SOLE		12824	0	0
CENTURYLINK INC	COM	156700106	2108	179294	SH		SOLE		179294	0	0
CERNER CORP	COM	156782104	17021	232210	SH		SOLE		232210	0	0
CERUS CORP	COM	157085101	306	54487	SH		SOLE		54487	0	0
CF INDS HLDGS INC	COM	125269100	3517	75286	SH		SOLE		75286	0	0
CHARLES RIV LABS INTL INC	COM	159864107	719	5065	SH		SOLE		5065	0	0
CHART INDS INC	COM PAR $0.01	16115Q308	349	4535	SH		SOLE		4535	0	0
CHARTER COMMUNICATIONS INC N	CL A	16119P108	59453	150445	SH		SOLE		150445	0	0
CHECK POINT SOFTWARE TECH LT	ORD	M22465104	9836	85083	SH		SOLE		85083	0	0
CHEESECAKE FACTORY INC	COM	163072101	349	7980	SH		SOLE		7980	0	0
CHEGG INC	COM	163092109	3588	92978	SH		SOLE		92978	0	0
CHEMED CORP NEW	COM	16359R103	596	1653	SH		SOLE		1653	0	0
CHEMICAL FINL CORP	COM	163731102	912	22195	SH		SOLE		22195	0	0
CHEMOCENTRYX INC	COM	16383L106	180	19319	SH		SOLE		19319	0	0
CHEMOURS CO	COM	163851108	558	23237	SH		SOLE		23237	0	0
CHENIERE ENERGY INC	COM NEW	16411R208	846	12358	SH		SOLE		12358	0	0
CHESAPEAKE ENERGY CORP	COM	165167107	278	142343	SH		SOLE		142343	0	0
CHESAPEAKE LODGING TR	SH BEN INT	165240102	228	8029	SH		SOLE		8029	0	0
CHESAPEAKE UTILS CORP	COM	165303108	12155	127920	SH		SOLE		127920	0	0
CHEVRON CORP NEW	COM	166764100	147962	1189020	SH		SOLE		1189020	0	0
CHICOS FAS INC	COM	168615102	56	16566	SH		SOLE		16566	0	0
CHILDRENS PL INC	COM	168905107	202	2120	SH		SOLE		2120	0	0
CHIMERA INVT CORP	COM NEW	16934Q208	779	41259	SH		SOLE		41259	0	0
CHINA BIOLOGIC PRODS HLDGS I	COM	G21515104	1083	11365	SH		SOLE		11365	0	0
CHIPOTLE MEXICAN GRILL INC	COM	169656105	1993	2719	SH		SOLE		2719	0	0
CHUBB LIMITED	COM	H1467J104	105636	717199	SH		SOLE		717199	0	0
CHURCH & DWIGHT INC	COM	171340102	1973	27010	SH		SOLE		27010	0	0
CHURCHILL DOWNS INC	COM	171484108	773	6721	SH		SOLE		6721	0	0
CIENA CORP	COM NEW	171779309	1392	33846	SH		SOLE		33846	0	0
CIGNA CORP NEW	COM	125523100	11647	73927	SH		SOLE		73927	0	0
CIMAREX ENERGY CO	COM	171798101	1849	31173	SH		SOLE		31173	0	0
CIMPRESS N V	SHS EURO	N20146101	212	2335	SH		SOLE		2335	0	0
CINCINNATI FINL CORP	COM	172062101	104158	1004707	SH		SOLE		1004707	0	0
CINEMARK HOLDINGS INC	COM	17243V102	325	9012	SH		SOLE		9012	0	0
CINTAS CORP	COM	172908105	109744	462487	SH		SOLE		462487	0	0
CIRRUS LOGIC INC	COM	172755100	704	16105	SH		SOLE		16105	0	0
CISCO SYS INC	COM	17275R102	178472	3260947	SH		SOLE		3260947	0	0
CIT GROUP INC	COM NEW	125581801	636	12098	SH		SOLE		12098	0	0
CITIGROUP INC	COM NEW	172967424	42583	608070	SH		SOLE		608070	0	0
CITIZENS FINL GROUP INC	COM	174610105	6649	188048	SH		SOLE		188048	0	0
CITRIX SYS INC	COM	177376100	11739	119612	SH		SOLE		119612	0	0
CLEAN ENERGY FUELS CORP	COM	184499101	39	14536	SH		SOLE		14536	0	0
CLEAN HARBORS INC	COM	184496107	306	4298	SH		SOLE		4298	0	0
CLEVELAND CLIFFS INC	COM	185899101	332	31111	SH		SOLE		31111	0	0
CLOROX CO DEL	COM	189054109	88509	578074	SH		SOLE		578074	0	0
CLOUDERA INC	COM	18914U100	112	21250	SH		SOLE		21250	0	0
CLOVIS ONCOLOGY INC	COM	189464100	324	21804	SH		SOLE		21804	0	0
CME GROUP INC	COM	12572Q105	17560	90462	SH		SOLE		90462	0	0
CMS ENERGY CORP	COM	125896100	1962	33874	SH		SOLE		33874	0	0
CNO FINL GROUP INC	COM	12621E103	838	50241	SH		SOLE		50241	0	0
CNX RESOURCES CORPORATION	COM	12653C108	194	26564	SH		SOLE		26564	0	0
COCA COLA CO	COM	191216100	119957	2355795	SH		SOLE		2355795	0	0
COEUR MNG INC	COM NEW	192108504	87	20063	SH		SOLE		20063	0	0
COGENT COMMUNICATIONS HLDGS	COM NEW	19239V302	334	5634	SH		SOLE		5634	0	0
COGNEX CORP	COM	192422103	691	14409	SH		SOLE		14409	0	0
COGNIZANT TECHNOLOGY SOLUTIO	CL A	192446102	25747	406163	SH		SOLE		406163	0	0
COHERENT INC	COM	192479103	277	2034	SH		SOLE		2034	0	0
COHERUS BIOSCIENCES INC	COM	19249H103	569	25745	SH		SOLE		25745	0	0
COLFAX CORP	COM	194014106	226	8066	SH		SOLE		8066	0	0
COLGATE PALMOLIVE CO	COM	194162103	94211	1314513	SH		SOLE		1314513	0	0
COLLEGIUM PHARMACEUTICAL INC	COM	19459J104	169	12856	SH		SOLE		12856	0	0
COLONY CAP INC NEW	CL A COM	19626G108	535	107009	SH		SOLE		107009	0	0
COLUMBIA BKG SYS INC	COM	197236102	357	9855	SH		SOLE		9855	0	0
COLUMBIA PPTY TR INC	COM NEW	198287203	534	25758	SH		SOLE		25758	0	0
COMCAST CORP NEW	CL A	20030N101	133354	3154074	SH		SOLE		3154074	0	0
COMERICA INC	COM	200340107	5368	73893	SH		SOLE		73893	0	0
COMFORT SYS USA INC	COM	199908104	252	4943	SH		SOLE		4943	0	0
COMMERCE BANCSHARES INC	COM	200525103	14015	234909	SH		SOLE		234909	0	0
COMMERCIAL METALS CO	COM	201723103	520	29119	SH		SOLE		29119	0	0
COMMUNITY BK SYS INC	COM	203607106	12079	183455	SH		SOLE		183455	0	0
COMMUNITY HEALTH SYS INC NEW	COM	203668108	34	12843	SH		SOLE		12843	0	0
COMMVAULT SYSTEMS INC	COM	204166102	453	9133	SH		SOLE		9133	0	0
COMPASS MINERALS INTL INC	COM	20451N101	12364	224996	SH		SOLE		224996	0	0
CONAGRA BRANDS INC	COM	205887102	2104	79354	SH		SOLE		79354	0	0
CONCHO RES INC	COM	20605P101	4575	44339	SH		SOLE		44339	0	0
CONMED CORP	COM	207410101	292	3417	SH		SOLE		3417	0	0
CONNECTICUT WTR SVC INC	COM	207797101	11948	171366	SH		SOLE		171366	0	0
CONOCOPHILLIPS	COM	20825C104	15364	251865	SH		SOLE		251865	0	0
CONSOLIDATED EDISON INC	COM	209115104	91130	1039343	SH		SOLE		1039343	0	0
CONSTELLATION BRANDS INC	CL A	21036P108	6714	34090	SH		SOLE		34090	0	0
CONTINENTAL RESOURCES INC	COM	212015101	204	4856	SH		SOLE		4856	0	0
COOPER COS INC	COM NEW	216648402	4964	14735	SH		SOLE		14735	0	0
COOPER TIRE & RUBR CO	COM	216831107	216	6851	SH		SOLE		6851	0	0
COPART INC	COM	217204106	1679	22463	SH		SOLE		22463	0	0
CORBUS PHARMACEUTICALS HLDGS	COM	21833P103	171	24617	SH		SOLE		24617	0	0
CORCEPT THERAPEUTICS INC	COM	218352102	149	13350	SH		SOLE		13350	0	0
CORE LABORATORIES N V	COM	N22717107	314	5998	SH		SOLE		5998	0	0
CORE MARK HOLDING CO INC	COM	218681104	247	6216	SH		SOLE		6216	0	0
CORECIVIC INC	COM	21871N101	1003	48336	SH		SOLE		48336	0	0
CORELOGIC INC	COM	21871D103	285	6809	SH		SOLE		6809	0	0
CORESITE RLTY CORP	COM	21870Q105	1272	11043	SH		SOLE		11043	0	0
CORNERSTONE ONDEMAND INC	COM	21925Y103	334	5764	SH		SOLE		5764	0	0
CORNING INC	COM	219350105	4720	142045	SH		SOLE		142045	0	0
CORPORATE OFFICE PPTYS TR	SH BEN INT	22002T108	884	33529	SH		SOLE		33529	0	0
CORTEVA INC	COM	22052L104	4087	138200	SH		SOLE		138200	0	0
COSTAR GROUP INC	COM	22160N109	4452	8035	SH		SOLE		8035	0	0
COSTCO WHSL CORP NEW	COM	22160K105	78367	296554	SH		SOLE		296554	0	0
COTY INC	COM CL A	222070203	443	33059	SH		SOLE		33059	0	0
COUPA SOFTWARE INC	COM	22266L106	749	5913	SH		SOLE		5913	0	0
COUSINS PPTYS INC	COM NEW	222795502	2130	58894	SH		SOLE		58894	0	0
COVANTA HLDG CORP	COM	22282E102	234	13071	SH		SOLE		13071	0	0
COVETRUS INC	COM	22304C100	244	9967	SH		SOLE		9967	0	0
CRACKER BARREL OLD CTRY STOR	COM	22410J106	14421	84468	SH		SOLE		84468	0	0
CRANE CO	COM	224399105	358	4293	SH		SOLE		4293	0	0
CREDIT ACCEP CORP MICH	COM	225310101	727	1502	SH		SOLE		1502	0	0
CREE INC	COM	225447101	1615	28747	SH		SOLE		28747	0	0
CRISPR THERAPEUTICS AG	NAMEN AKT	H17182108	727	15442	SH		SOLE		15442	0	0
CROWN CASTLE INTL CORP NEW	COM	22822V101	17697	135767	SH		SOLE		135767	0	0
CSG SYS INTL INC	COM	126349109	216	4420	SH		SOLE		4420	0	0
CSX CORP	COM	126408103	43067	556642	SH		SOLE		556642	0	0
CTRIP COM INTL LTD	SPONSORED ADS	22943F100	10044	272109	SH		SOLE		272109	0	0
CUBESMART	COM	229663109	1387	41471	SH		SOLE		41471	0	0
CUBIC CORP	COM	229669106	267	4139	SH		SOLE		4139	0	0
CULLEN FROST BANKERS INC	COM	229899109	12797	136633	SH		SOLE		136633	0	0
CUMMINS INC	COM	231021106	3823	22311	SH		SOLE		22311	0	0
CURTISS WRIGHT CORP	COM	231561101	458	3606	SH		SOLE		3606	0	0
CVB FINL CORP	COM	126600105	311	14793	SH		SOLE		14793	0	0
CVS HEALTH CORP	COM	126650100	11128	204216	SH		SOLE		204216	0	0
CYMABAY THERAPEUTICS INC	COM	23257D103	189	26360	SH		SOLE		26360	0	0
CYPRESS SEMICONDUCTOR CORP	COM	232806109	1376	61852	SH		SOLE		61852	0	0
CYRUSONE INC	COM	23283R100	1956	33886	SH		SOLE		33886	0	0
CYTOKINETICS INC	COM NEW	23282W605	263	23393	SH		SOLE		23393	0	0
CYTOMX THERAPEUTICS INC	COM	23284F105	201	17940	SH		SOLE		17940	0	0
D R HORTON INC	COM	23331A109	1609	37305	SH		SOLE		37305	0	0
DANA INCORPORATED	COM	235825205	547	27445	SH		SOLE		27445	0	0
DANAHER CORPORATION	COM	235851102	11801	82569	SH		SOLE		82569	0	0
DARDEN RESTAURANTS INC	COM	237194105	4432	36409	SH		SOLE		36409	0	0
DARLING INGREDIENTS INC	COM	237266101	451	22653	SH		SOLE		22653	0	0
DAVE & BUSTERS ENTMT INC	COM	238337109	209	5157	SH		SOLE		5157	0	0
DAVITA INC	COM	23918K108	936	16637	SH		SOLE		16637	0	0
DEAN FOODS CO NEW	COM NEW	242370203	12	12590	SH		SOLE		12590	0	0
DECIPHERA PHARMACEUTICALS IN	COM	24344T101	272	12076	SH		SOLE		12076	0	0
DECKERS OUTDOOR CORP	COM	243537107	967	5497	SH		SOLE		5497	0	0
DEERE & CO	COM	244199105	5864	35388	SH		SOLE		35388	0	0
DELEK US HLDGS INC NEW	COM	24665A103	512	12624	SH		SOLE		12624	0	0
DELL TECHNOLOGIES INC	CL C	24703L202	367	7221	SH		SOLE		7221	0	0
DELTA AIR LINES INC DEL	COM NEW	247361702	3771	66458	SH		SOLE		66458	0	0
DELUXE CORP	COM	248019101	349	8586	SH		SOLE		8586	0	0
DENALI THERAPEUTICS INC	COM	24823R105	679	32689	SH		SOLE		32689	0	0
DENBURY RES INC	COM NEW	247916208	77	61959	SH		SOLE		61959	0	0
DENTSPLY SIRONA INC	COM	24906P109	1791	30682	SH		SOLE		30682	0	0
DERMIRA INC	COM	24983L104	185	19363	SH		SOLE		19363	0	0
DEVON ENERGY CORP NEW	COM	25179M103	2652	93000	SH		SOLE		93000	0	0
DEXCOM INC	COM	252131107	332	2215	SH		SOLE		2215	0	0
DIAMONDBACK ENERGY INC	COM	25278X109	3059	28075	SH		SOLE		28075	0	0
DIAMONDROCK HOSPITALITY CO	COM	252784301	746	72143	SH		SOLE		72143	0	0
DICERNA PHARMACEUTICALS INC	COM	253031108	404	25673	SH		SOLE		25673	0	0
DIEBOLD NXDF INC	COM	253651103	95	10393	SH		SOLE		10393	0	0
DIGITAL RLTY TR INC	COM	253868103	8013	68032	SH		SOLE		68032	0	0
DINE BRANDS GLOBAL INC	COM	254423106	217	2275	SH		SOLE		2275	0	0
DISCOVER FINL SVCS	COM	254709108	8958	115457	SH		SOLE		115457	0	0
DISCOVERY INC	COM SER A	25470F104	3091	100694	SH		SOLE		100694	0	0
DISCOVERY INC	COM SER C	25470F302	1147	40307	SH		SOLE		40307	0	0
DISH NETWORK CORP	CL A	25470M109	1406	36605	SH		SOLE		36605	0	0
DISNEY WALT CO	COM DISNEY	254687106	49764	356371	SH		SOLE		356371	0	0
DOLLAR GEN CORP NEW	COM	256677105	4585	33926	SH		SOLE		33926	0	0
DOLLAR TREE INC	COM	256746108	17106	159290	SH		SOLE		159290	0	0
DOMINION ENERGY INC	COM	25746U109	7404	95754	SH		SOLE		95754	0	0
DOMINOS PIZZA INC	COM	25754A201	964	3463	SH		SOLE		3463	0	0
DOMTAR CORP	COM NEW	257559203	399	8964	SH		SOLE		8964	0	0
DONALDSON INC	COM	257651109	12703	249766	SH		SOLE		249766	0	0
DORMAN PRODUCTS INC	COM	258278100	321	3682	SH		SOLE		3682	0	0
DOUGLAS EMMETT INC	COM	25960P109	1930	48446	SH		SOLE		48446	0	0
DOVER CORP	COM	260003108	90844	906624	SH		SOLE		906624	0	0
DOW INC	COM	260557103	13289	269509	SH		SOLE		269509	0	0
DRIL QUIP INC	COM	262037104	329	6847	SH		SOLE		6847	0	0
DTE ENERGY CO	COM	233331107	5646	44149	SH		SOLE		44149	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	7678	87018	SH		SOLE		87018	0	0
DUKE REALTY CORP	COM NEW	264411505	6298	199242	SH		SOLE		199242	0	0
DULUTH HLDGS INC	COM CL B	26443V101	1187	87310	SH		SOLE		87310	0	0
DUNKIN BRANDS GROUP INC	COM	265504100	555	6970	SH		SOLE		6970	0	0
DUPONT DE NEMOURS INC	COM	26614N102	9992	133099	SH		SOLE		133099	0	0
DURECT CORP	COM	266605104	11	16607	SH		SOLE		16607	0	0
DXC TECHNOLOGY CO	COM	23355L106	2292	41553	SH		SOLE		41553	0	0
DYCOM INDS INC	COM	267475101	345	5859	SH		SOLE		5859	0	0
E TRADE FINANCIAL CORP	COM NEW	269246401	5154	115554	SH		SOLE		115554	0	0
EAGLE BANCORP INC MD	COM	268948106	232	4295	SH		SOLE		4295	0	0
EAGLE MATERIALS INC	COM	26969P108	344	3709	SH		SOLE		3709	0	0
EAGLE PHARMACEUTICALS INC	COM	269796108	305	5478	SH		SOLE		5478	0	0
EAST WEST BANCORP INC	COM	27579R104	1392	29773	SH		SOLE		29773	0	0
EASTGROUP PPTY INC	COM	277276101	1707	14722	SH		SOLE		14722	0	0
EASTMAN CHEMICAL CO	COM	277432100	4257	54694	SH		SOLE		54694	0	0
EATON CORP PLC	SHS	G29183103	3938	47286	SH		SOLE		47286	0	0
EATON VANCE CORP	COM NON VTG	278265103	14067	326165	SH		SOLE		326165	0	0
EBAY INC	COM	278642103	27526	696850	SH		SOLE		696850	0	0
ECOLAB INC	COM	278865100	98629	499541	SH		SOLE		499541	0	0
EDGEWELL PERS CARE CO	COM	28035Q102	275	10199	SH		SOLE		10199	0	0
EDISON INTL	COM	281020107	5711	84720	SH		SOLE		84720	0	0
EDITAS MEDICINE INC	COM	28106W103	477	19267	SH		SOLE		19267	0	0
EDWARDS LIFESCIENCES CORP	COM	28176E108	5575	30176	SH		SOLE		30176	0	0
EHEALTH INC	COM	28238P109	247	2866	SH		SOLE		2866	0	0
EIDOS THERAPEUTICS INC	COM	28249H104	387	12466	SH		SOLE		12466	0	0
EL PASO ELEC CO	COM NEW	283677854	390	5966	SH		SOLE		5966	0	0
ELANCO ANIMAL HEALTH INC	COM	28414H103	301	8896	SH		SOLE		8896	0	0
ELDORADO RESORTS INC	COM	28470R102	560	12147	SH		SOLE		12147	0	0
ELECTRONIC ARTS INC	COM	285512109	21847	215756	SH		SOLE		215756	0	0
ELECTRONICS FOR IMAGING INC	COM	286082102	217	5878	SH		SOLE		5878	0	0
ELEMENT SOLUTIONS INC	COM	28618M106	153	14812	SH		SOLE		14812	0	0
ELOXX PHARMACEUTICALS INC	COM	29014R103	129	12899	SH		SOLE		12899	0	0
EMCOR GROUP INC	COM	29084Q100	952	10804	SH		SOLE		10804	0	0
EMERGENT BIOSOLUTIONS INC	COM	29089Q105	296	6121	SH		SOLE		6121	0	0
EMERSON ELEC CO	COM	291011104	82459	1235903	SH		SOLE		1235903	0	0
ENANTA PHARMACEUTICALS INC	COM	29251M106	673	7974	SH		SOLE		7974	0	0
ENCOMPASS HEALTH CORP	COM	29261A100	651	10280	SH		SOLE		10280	0	0
ENDO INTL PLC	SHS	G30401106	414	100433	SH		SOLE		100433	0	0
ENERGIZER HLDGS INC NEW	COM	29272W109	202	5234	SH		SOLE		5234	0	0
ENERSYS	COM	29275Y102	562	8207	SH		SOLE		8207	0	0
ENSCO ROWAN PLC	SHS CLASS A	G3166L100	230	26918	SH		SOLE		26918	0	0
ENSIGN GROUP INC	COM	29358P101	13406	235526	SH		SOLE		235526	0	0
ENSTAR GROUP LIMITED	SHS	G3075P101	552	3166	SH		SOLE		3166	0	0
ENTEGRIS INC	COM	29362U104	1014	27161	SH		SOLE		27161	0	0
ENTERCOM COMMUNICATIONS CORP	CL A	293639100	79	13561	SH		SOLE		13561	0	0
ENTERGY CORP NEW	COM	29364G103	5151	50047	SH		SOLE		50047	0	0
ENVESTNET INC	COM	29404K106	323	4731	SH		SOLE		4731	0	0
EOG RES INC	COM	26875P101	12266	131661	SH		SOLE		131661	0	0
EPAM SYS INC	COM	29414B104	432	2493	SH		SOLE		2493	0	0
EPIZYME INC	COM	29428V104	412	32817	SH		SOLE		32817	0	0
EPR PPTYS	COM SH BEN INT	26884U109	1687	22611	SH		SOLE		22611	0	0
EQT CORP	COM	26884L109	548	34670	SH		SOLE		34670	0	0
EQUIFAX INC	COM	294429105	1822	13474	SH		SOLE		13474	0	0
EQUINIX INC	COM	29444U700	13846	27457	SH		SOLE		27457	0	0
EQUITRANS MIDSTREAM CORPORAT	COM	294600101	544	27590	SH		SOLE		27590	0	0
EQUITY COMWLTH	COM SH BEN INT	294628102	872	26829	SH		SOLE		26829	0	0
EQUITY LIFESTYLE PPTYS INC	COM	29472R108	2400	19782	SH		SOLE		19782	0	0
EQUITY RESIDENTIAL	SH BEN INT	29476L107	9186	121000	SH		SOLE		121000	0	0
ERIE INDTY CO	CL A	29530P102	631	2481	SH		SOLE		2481	0	0
ESCO TECHNOLOGIES INC	COM	296315104	285	3447	SH		SOLE		3447	0	0
ESPERION THERAPEUTICS INC NE	COM	29664W105	478	10279	SH		SOLE		10279	0	0
ESSENT GROUP LTD	COM	G3198U102	1056	22463	SH		SOLE		22463	0	0
ESSEX PPTY TR INC	COM	297178105	8988	30789	SH		SOLE		30789	0	0
ETSY INC	COM	29786A106	3967	64647	SH		SOLE		64647	0	0
EVERBRIDGE INC	COM	29978A104	277	3097	SH		SOLE		3097	0	0
EVERCORE INC	CLASS A	29977A105	743	8390	SH		SOLE		8390	0	0
EVEREST RE GROUP LTD	COM	G3223R108	4937	19973	SH		SOLE		19973	0	0
EVERGY INC	COM	30034W106	4419	73468	SH		SOLE		73468	0	0
EVERSOURCE ENERGY	COM	30040W108	2905	38347	SH		SOLE		38347	0	0
EVERTEC INC	COM	30040P103	268	8182	SH		SOLE		8182	0	0
EXACT SCIENCES CORP	COM	30063P105	371	3141	SH		SOLE		3141	0	0
EXELIXIS INC	COM	30161Q104	2551	119374	SH		SOLE		119374	0	0
EXELON CORP	COM	30161N101	8856	184728	SH		SOLE		184728	0	0
EXLSERVICE HOLDINGS INC	COM	302081104	299	4519	SH		SOLE		4519	0	0
EXPEDIA GROUP INC	COM NEW	30212P303	12190	91633	SH		SOLE		91633	0	0
EXPEDITORS INTL WASH INC	COM	302130109	1456	19189	SH		SOLE		19189	0	0
EXPONENT INC	COM	30214U102	407	6951	SH		SOLE		6951	0	0
EXTRA SPACE STORAGE INC	COM	30225T102	7000	65980	SH		SOLE		65980	0	0
EXTREME NETWORKS INC	COM	30226D106	103	15985	SH		SOLE		15985	0	0
EXXON MOBIL CORP	COM	30231G102	146713	1914558	SH		SOLE		1914558	0	0
EYEPOINT PHARMACEUTICALS INC	COM	30233G100	51	30964	SH		SOLE		30964	0	0
F M C CORP	COM NEW	302491303	2149	25903	SH		SOLE		25903	0	0
F5 NETWORKS INC	COM	315616102	2771	19030	SH		SOLE		19030	0	0
FABRINET	SHS	G3323L100	242	4878	SH		SOLE		4878	0	0
FACEBOOK INC	CL A	30303M102	316148	1638070	SH		SOLE		1638070	0	0
FACTSET RESH SYS INC	COM	303075105	16007	55859	SH		SOLE		55859	0	0
FAIR ISAAC CORP	COM	303250104	1160	3695	SH		SOLE		3695	0	0
FASTENAL CO	COM	311900104	12873	394987	SH		SOLE		394987	0	0
FATE THERAPEUTICS INC	COM	31189P102	517	25449	SH		SOLE		25449	0	0
FEDERAL REALTY INVT TR	SH BEN INT NEW	313747206	86914	675011	SH		SOLE		675011	0	0
FEDERAL SIGNAL CORP	COM	313855108	215	8026	SH		SOLE		8026	0	0
FEDERATED INVS INC PA	CL B	314211103	973	29944	SH		SOLE		29944	0	0
FEDEX CORP	COM	31428X106	4458	27153	SH		SOLE		27153	0	0
FERRO CORP	COM	315405100	176	11165	SH		SOLE		11165	0	0
FGL HLDGS	ORD SHS	G3402M102	130	15525	SH		SOLE		15525	0	0
FIBROGEN INC	COM	31572Q808	1585	35083	SH		SOLE		35083	0	0
FIDELITY NATIONAL FINANCIAL	FNF GROUP COM	31620R303	1387	34419	SH		SOLE		34419	0	0
FIDELITY NATL INFORMATION SV	COM	31620M106	4424	36064	SH		SOLE		36064	0	0
FIFTH THIRD BANCORP	COM	316773100	7764	278297	SH		SOLE		278297	0	0
FINISAR CORP	COM NEW	31787A507	499	21802	SH		SOLE		21802	0	0
FIRST AMERN FINL CORP	COM	31847R102	1232	22949	SH		SOLE		22949	0	0
FIRST BANCORP P R	COM NEW	318672706	319	28890	SH		SOLE		28890	0	0
FIRST COMWLTH FINL CORP PA	COM	319829107	178	13212	SH		SOLE		13212	0	0
FIRST CTZNS BANCSHARES INC N	CL A	31946M103	484	1075	SH		SOLE		1075	0	0
FIRST FINL BANCORP OH	COM	320209109	314	12951	SH		SOLE		12951	0	0
FIRST FINL BANKSHARES	COM	32020R109	1278	41512	SH		SOLE		41512	0	0
FIRST HAWAIIAN INC	COM	32051X108	293	11331	SH		SOLE		11331	0	0
FIRST HORIZON NATL CORP	COM	320517105	963	64527	SH		SOLE		64527	0	0
FIRST INDUSTRIAL REALTY TRUS	COM	32054K103	1876	51050	SH		SOLE		51050	0	0
FIRST LONG IS CORP	COM	320734106	9896	492844	SH		SOLE		492844	0	0
FIRST MERCHANTS CORP	COM	320817109	218	5754	SH		SOLE		5754	0	0
FIRST MIDWEST BANCORP DEL	COM	320867104	295	14409	SH		SOLE		14409	0	0
FIRST REP BK SAN FRANCISCO C	COM	33616C100	3849	39419	SH		SOLE		39419	0	0
FIRST SOLAR INC	COM	336433107	676	10298	SH		SOLE		10298	0	0
FIRSTCASH INC	COM	33767D105	1116	11154	SH		SOLE		11154	0	0
FIRSTENERGY CORP	COM	337932107	2580	60273	SH		SOLE		60273	0	0
FISERV INC	COM	337738108	23971	262953	SH		SOLE		262953	0	0
FITBIT INC	CL A	33812L102	100	22666	SH		SOLE		22666	0	0
FIVE BELOW INC	COM	33829M101	1261	10503	SH		SOLE		10503	0	0
FIVE PRIME THERAPEUTICS INC	COM	33830X104	85	14076	SH		SOLE		14076	0	0
FIVE9 INC	COM	338307101	312	6080	SH		SOLE		6080	0	0
FLEETCOR TECHNOLOGIES INC	COM	339041105	2693	9589	SH		SOLE		9589	0	0
FLEXION THERAPEUTICS INC	COM	33938J106	180	14637	SH		SOLE		14637	0	0
FLIR SYS INC	COM	302445101	816	15080	SH		SOLE		15080	0	0
FLOWERS FOODS INC	COM	343498101	14260	612819	SH		SOLE		612819	0	0
FLOWSERVE CORP	COM	34354P105	771	14640	SH		SOLE		14640	0	0
FLUOR CORP NEW	COM	343412102	401	11908	SH		SOLE		11908	0	0
FLWS/1-800 FLOWERS	CL A	68243Q106	2046	108383	SH		SOLE		108383	0	0
FNB CORP PA	COM	302520101	783	66521	SH		SOLE		66521	0	0
FOAMIX PHARMACEUTICALS LTD	SHS	M46135105	38	15881	SH		SOLE		15881	0	0
FOOT LOCKER INC	COM	344849104	2066	49288	SH		SOLE		49288	0	0
FORD MTR CO DEL	COM	345370860	6813	666022	SH		SOLE		666022	0	0
FORTINET INC	COM	34959E109	4302	55988	SH		SOLE		55988	0	0
FORTIVE CORP	COM	34959J108	2679	32868	SH		SOLE		32868	0	0
FORTUNE BRANDS HOME & SEC IN	COM	34964C106	892	15621	SH		SOLE		15621	0	0
FORTY SEVEN INC	COM	34983P104	113	10634	SH		SOLE		10634	0	0
FORWARD AIR CORP	COM	349853101	229	3876	SH		SOLE		3876	0	0
FOUR CORNERS PPTY TR INC	COM	35086T109	250	9144	SH		SOLE		9144	0	0
FOX CORP	CL A COM	35137L105	8881	242372	SH		SOLE		242372	0	0
FOX CORP	CL B COM	35137L204	6536	178911	SH		SOLE		178911	0	0
FOX FACTORY HLDG CORP	COM	35138V102	406	4918	SH		SOLE		4918	0	0
FRANKLIN ELEC INC	COM	353514102	10397	218891	SH		SOLE		218891	0	0
FRANKLIN RES INC	COM	354613101	85636	2460812	SH		SOLE		2460812	0	0
FRANKLIN STREET PPTYS CORP	COM	35471R106	104	14126	SH		SOLE		14126	0	0
FREEPORT-MCMORAN INC	CL B	35671D857	2895	249337	SH		SOLE		249337	0	0
FRONTIER COMMUNICATIONS CORP	COM NEW	35906A306	26	14844	SH		SOLE		14844	0	0
FTI CONSULTING INC	COM	302941109	444	5296	SH		SOLE		5296	0	0
FULLER H B CO	COM	359694106	10885	234588	SH		SOLE		234588	0	0
FULTON FINL CORP PA	COM	360271100	855	52231	SH		SOLE		52231	0	0
G1 THERAPEUTICS INC	COM	3621LQ109	411	13391	SH		SOLE		13391	0	0
GALAPAGOS NV	SPON ADR	36315X101	326	2528	SH		SOLE		2528	0	0
